T,PIF4m,PIF5m,PIF,phyB,PR,INT,IAA29m,ATHB2m,CDF1m,FKF1m,FKF1,CDF1,COm,CO,FTm,InducedC1,InducedC2,RepressedC1,PHYAm,phyAr,phyAfr,phyAmarker
0,0.397799298336887,0.472850355161363,36.0143684140484,0.287336582297742,0.287336582296242,3.03910672352277,1.0551594439398,1.00188516486965,1.14802086955574,0.0630787769191616,0.0522114372464728,0.229054661073733,0.201319964428917,0.00789520605882199,0.00136593483062294,1.0551594439398,0.992980676068719,0.10900736902238,1.16107025470606,1.45482927479018,0.0281018158127956,0.0801330509525418
0.1,0.422512285666071,0.497346767253827,14.5816321068452,0.843272952842469,0.843272952842204,4.7273262793421,1.04040733747807,0.974116170420801,1.17013213792916,0.077363914756379,0.0525922028580434,0.233681505778635,0.192297093177003,0.0477373870147011,0.0013421089710266,1.04040733747807,0.988296555794858,0.107779484324242,1.14440000098909,1.38257027255976,0.126608269477206,0.0816594140187495
0.2,0.447122398006833,0.521541644022265,6.69246959624037,0.950598489247925,0.950598489247891,6.99574657659583,0.974362323267599,0.914209804340506,1.1912411590153,0.0912238018839491,0.0544643564788039,0.238355668819337,0.183395439812559,0.101660872669087,0.00136879066607328,0.974362323267599,0.923774986758684,0.122230688855714,1.07844702209062,1.29723457089097,0.213035454333745,0.0874045127472763
0.3,0.471457289408991,0.545260616917774,5.53964095974531,0.964591010850372,0.964591010850368,9.06262904589357,0.911378967816224,0.858182075243031,1.21044932950524,0.101907316772839,0.0573587694353208,0.243036483963762,0.175000981818704,0.151186857192308,0.00148214213099197,0.911378967816224,0.838504793925964,0.14400136319007,1.01521225941435,1.21931423545103,0.271570323314781,0.0963990103558774
0.4,0.495310842300336,0.568285065891544,5.58507374586635,0.966267368691983,0.966267368691982,10.8492523690645,0.852602304644897,0.80598504573489,1.22693156245583,0.109917446533916,0.060835607270253,0.247695355385515,0.167086302472746,0.196124892731887,0.00170770263503281,0.852602304644897,0.759467029800346,0.165766344197811,0.956194631401274,1.14796447540292,0.309226331307055,0.107024401401742
0.5,0.518716475390804,0.590721547241285,5.79968517453304,0.96648683699084,0.96648683699084,12.3815709293783,0.797765541178026,0.757299292540159,1.2400437417449,0.115757526208259,0.0645674727113511,0.252310054983787,0.159623699066633,0.236840584922213,0.00205851565726178,0.797765541178026,0.687692658458068,0.187140353078397,0.901217170791704,1.08216110876836,0.331660627714204,0.118255172276567
0.6,0.541707104800785,0.612642951850197,6.04130504694373,0.966497200507097,0.966497200507096,13.6944118279427,0.746612772520986,0.711918766785497,1.24939122886162,0.11986164382475,0.0683188233104,0.256861326399077,0.152587482795853,0.273680899846569,0.00253654714226348,0.746612772520986,0.622599707883897,0.208123320597555,0.849971252954056,1.02110887742399,0.343091796217684,0.129498761742092
0.7,0.563993774310374,0.633707859716476,6.27407051837954,0.966508053004549,0.966508053004549,14.8189056652546,0.698888277411029,0.669567704367482,1.254834450639,0.122597100509931,0.0719276839708394,0.261331741996122,0.145953785445402,0.306953939812925,0.00313676652483787,0.698888277411029,0.563647663683032,0.228699445058929,0.802179419905611,0.964224247091492,0.346526182889298,0.140440918189496
0.8,0.585769302162585,0.65420909117894,6.50537843521922,0.966502198183641,0.966502198183641,15.7821404457751,0.654371321810035,0.63009315105771,1.25644118827753,0.124272495142816,0.0752863441826477,0.265705163384176,0.139700269764046,0.336939534441462,0.00384983616064269,0.654371321810035,0.51026753399927,0.248875792004493,0.757610824573641,0.911039739283949,0.344280525807962,0.150861741723593
0.9,0.606786818980236,0.673843848671621,6.72862343007197,0.966502878861113,0.966502878861113,16.6072423959593,0.612846293198418,0.593299032074055,1.25443038285399,0.125143761603185,0.0783312749366416,0.269967374214058,0.133806040639585,0.363893325746265,0.00466425499549399,0.612846293198418,0.461945605523939,0.268656700758553,0.716052935745027,0.861188960214802,0.338081696480942,0.160622511440138
